# Diccionario de traducción GO terms / KEGG → Español
# Formato: término_en_inglés [TAB] traducción_en_español
# Líneas que empiezan con # son comentarios y se ignoran
# Case-insensitive: puedes escribir en mayúsculas o minúsculas

# ── GO Biological Process ─────────────────────────────────────────────
reproduction	Reproducción
cell cycle checkpoint signaling	Señalización del punto de control del ciclo celular
dna damage checkpoint signaling	Señalización del punto de control por daño en ADN
dna repair	Reparación del ADN
dna damage response	Respuesta al daño en el ADN
double-strand break repair	Reparación de roturas de doble cadena
single-strand break repair	Reparación de roturas de cadena simple
apoptotic process	Proceso apoptótico
intrinsic apoptotic signaling pathway	Vía de señalización apoptótica intrínseca
extrinsic apoptotic signaling pathway	Vía de señalización apoptótica extrínseca
regulation of apoptotic process	Regulación del proceso apoptótico
positive regulation of apoptotic process	Regulación positiva del proceso apoptótico
negative regulation of apoptotic process	Regulación negativa del proceso apoptótico
cell cycle arrest	Arresto del ciclo celular
cell cycle	Ciclo celular
g1/s transition of mitotic cell cycle	Transición G1/S del ciclo celular mitótico
g2/m transition of mitotic cell cycle	Transición G2/M del ciclo celular mitótico
mitotic cell cycle	Ciclo celular mitótico
signal transduction	Transducción de señales
mapk cascade	Cascada MAPK
regulation of protein phosphorylation	Regulación de la fosforilación de proteínas
positive regulation of protein phosphorylation	Regulación positiva de la fosforilación de proteínas
negative regulation of protein phosphorylation	Regulación negativa de la fosforilación de proteínas
protein ubiquitination	Ubiquitinación de proteínas
protein polyubiquitination	Poliubiquitinación de proteínas
protein monoubiquitination	Monoubiquitinación de proteínas
proteasomal ubiquitin-dependent protein catabolic process	Catabolismo proteico dependiente de ubiquitina-proteasoma
transcription, dna-templated	Transcripción dependiente de ADN
regulation of transcription, dna-templated	Regulación de la transcripción dependiente de ADN
regulation of transcription by rna polymerase ii	Regulación de la transcripción por ARN polimerasa II
positive regulation of transcription by rna polymerase ii	Regulación positiva de la transcripción por ARN polimerasa II
negative regulation of transcription by rna polymerase ii	Regulación negativa de la transcripción por ARN polimerasa II
chromatin remodeling	Remodelación de cromatina
chromatin organization	Organización de la cromatina
histone modification	Modificación de histonas
histone acetylation	Acetilación de histonas
histone deacetylation	Desacetilación de histonas
histone methylation	Metilación de histonas
histone phosphorylation	Fosforilación de histonas
histone ubiquitination	Ubiquitinación de histonas
protein acetylation	Acetilación de proteínas
protein deacetylation	Desacetilación de proteínas
protein methylation	Metilación de proteínas
phosphorylation	Fosforilación
protein phosphorylation	Fosforilación de proteínas
dephosphorylation	Desfosforilación
protein dephosphorylation	Desfosforilación de proteínas
kinase activity	Actividad quinasa
protein kinase activity	Actividad proteína quinasa
tyrosine kinase activity	Actividad tirosina quinasa
serine/threonine kinase activity	Actividad serina/treonina quinasa
receptor tyrosine kinase signaling pathway	Vía de señalización del receptor tirosina quinasa
epidermal growth factor receptor signaling pathway	Vía de señalización del receptor del factor de crecimiento epidérmico
ras protein signal transduction	Transducción de señales de la proteína Ras
pi3k-akt signaling pathway	Vía de señalización PI3K-AKT
mtor signaling pathway	Vía de señalización mTOR
cell proliferation	Proliferación celular
positive regulation of cell proliferation	Regulación positiva de la proliferación celular
negative regulation of cell proliferation	Regulación negativa de la proliferación celular
cell migration	Migración celular
cell adhesion	Adhesión celular
cell differentiation	Diferenciación celular
cell morphogenesis	Morfogénesis celular
cell morphogenesis involved in differentiation	Morfogénesis celular implicada en diferenciación
cell growth	Crecimiento celular
cell division	División celular
cell senescence	Senescencia celular
